Name,Station Code,Lat,Lon
Kalisindh Dam,038-CDJAPR,24.482705555555555,76.22300555555556
Jawahar Sagar  DAM,046-CDJAPR,25.03666666666667,75.67833333333334
Singur Reservoir,018-UGDHYD,17.75,77.93
Panchana Dam,041-CDJAPR,26.554166666666667,77.005
Dharoi Dam,018MAHGAND,24.004722222222224,72.85416666666666
Bamni (Ballarsha),017-WGDNGP,19.814444444444444,79.37916666666666
LAXMI BARRAGE,049-ugdhyd,18.703888888888887,80.08916666666666
Yingkiong ,009NEID3,28.66178888888889,95.01284166666667
DHOLPUR,003-LYDAGRa,26.65861111111111,77.90361111111112
Kota City,044-CDJAPR,25.19611111111111,75.84444444444443
Ichari Dam,055-UYDDEL,30.613611111111112,77.7911111111111
Bhandara,006-WGDNGP,21.149166666666666,79.66861111111112
Matijuri,01-11-01-002,24.649444444444445,92.60888888888888
Tehri Dam,062-HGDDDN,30.37777777777778,78.47777777777777
Gudha Dam,039-CDJAPR,25.489444444444445,75.46722222222222
Abu Road,028-MAHGAND,24.49361111111111,72.79055555555556
Manderial,013-CDJAPR,26.279999999999998,77.28166666666667
Gazoldoba,021-LBDJPG,26.72972222222222,88.58222222222221
Sonamura,012-MDSIL,23.47222222222222,91.26277777777777
Kota Barrage,043-CDJAPR,25.17638888888889,75.82583333333334
Shetrunji dam,01 02 14 005,21.474444444444444,71.88
MALAKKARA,018-SWRDKOCHI,9.329166666666666,76.66388888888889
Amanat Barrage,43mgd5ptn,24.01,84.47
Nellore CWC,002-HYDCHENNAI,14.470277777777778,79.9888888888889
Tawa Reservoir,015-NDBHP,22.563333333333333,77.97611111111111
Darauli,012-MGD5PTN,26.074444444444445,84.12694444444443
Annapurna Ghat,01-11-01-007,24.83277777777778,92.79166666666667
Tenughat Reservoir,008-DDASL	,23.72472222222222,85.83999999999999
Kursela,025-mgd4ptn,25.42388888888889,87.23416666666667
Araria,029-mgd4ptn,26.124533333333332,87.49226666666667
NEELEESWARAM,012-SWRDKOCHI,10.18361111111111,76.49555555555555
Fatehgarh,003-mgd2lkn,27.40138888888889,79.62305555555555
Madurai,0052-SRDCBE,9.933333333333334,78.11666666666666
Subhash Bridge,020-MAHGAND,23.06138888888889,72.58555555555554
Annapurnaghat,010-MBDGHY,24.83277777777778,92.79166666666667
Numaligarh,024-UBDDIB,26.631180555555556,93.73041944444445
Melli,DWRIS-06,27.085277777777776,88.45166666666667
Kailashahar,023-MBDGHY,24.316111111111113,91.99305555555556
Taibpur,028-mgd4ptn,26.3925,88.1575
Kanpur,012-mgd2lkn,26.47222222222222,80.3786111111111
Ukai Reservoir,021-TDSURAT,21.25,73.58999999999999
Akhuapada,016-ERDBWN,20.916944444444447,86.27972222222222
Jainagar,020-mgd4ptn,26.586666666666666,86.14555555555556
Bareilly,009-mgd2lkn,28.299166666666668,79.36638888888888
VAPI,031-TDSURAT,20.37,72.88
Chinturu (Tallagudem/Kummuru),030-LGDHYD,17.74361111111111,81.38666666666667
Kahalgaon,007-MGD5PTN,25.25027777777778,87.22611111111111
Jamshedpur,008-ERDBWN,22.815555555555555,86.21611111111112
Tezpur,031-UBDDIB,26.615833333333335,92.79694444444445
Dharamtul,034-UBDDIB,26.168333333333333,92.3586111111111
Anandpur,015-ERDBWN,21.211111111111112,86.12055555555555
Ekmighat,014-mgd4ptn,26.119444444444444,85.87638888888888
Munger,005-MGD5PTN,25.37777777777778,86.46194444444444
Ayodhya ,011-MGD1LKN,26.811116666666667,82.20746666666668
Dalmau,013-mgd2lkn,26.060830555555555,81.02860833333334
Alipingal,037-MDBURLA,20.07,86.17
Purusottampur,029-ERDBWN,19.516666666666666,84.88333333333334
Goalpara,002-MBDGHY,26.197222222222223,90.6388888888889
Jenapur,023-ERDBWN,20.878888888888888,86.01444444444445
Sikandarpur (Muzzafarpur),004-MGD4PTN,26.142777777777777,85.3761111111111
Gunupur,035-ERDBWN,19.083333333333332,83.80555555555556
Mathabhanga,028-LBDJPG,26.325277777777778,89.23444444444445
Dowlaiswaram (State Govt Site),028-LGDHYD,16.938333333333333,81.7825
Pauni,009-WGDNGP,20.795,79.64944444444446
Nimapara,039-mdburla,20.060000000000002,86.01
Lalbegiaghat,002-MGD4PTN,26.658708333333333,85.013675
Samastipur,005-mgd4ptn,25.860555555555557,85.80444444444444
Khagaria,007-mgd4ptn,25.487222222222222,86.4375
Dhubri,005-LBDJPG,26.01,89.99
Lucknow (Hanuman Setu),014-mgd2lkn,26.861944444444447,80.94611111111111
Ankinghat,011-mgd2lkn,26.93305555555556,80.03277777777778
Haridwar (Dudhia Band),015-HGDDDN,29.979999999999997,78.19
KUMBIDI,008-SWRDKOCHI,10.854444444444445,76.02
Delhi Railway Bridge,015-UYDDEL,28.662499999999998,77.24888888888889
Farakka(FF),028-MGD5PTN,24.8,87.92
Madduvalasa,047-ERDBWN,18.63,83.22
AURAIYA,005-LYDAGRA,26.429166666666667,79.47805555555556
Garudeshwar,003-TDSURAT,21.89,73.65
Bharuch,004-TDSURAT,21.7,73.0
Sirpur (Town),028-wgdngp,19.509722222222223,79.58638888888889
DAMAN,032-TDSURAT,20.41,72.83999999999999
RAVISHANKAR SAGAR DAM,060 MDBURLA,20.610000000000003,81.56
Karimganj,021-MBDGHY,24.878611111111113,92.35666666666665
Mandla,010-NDBHP,22.593888888888888,80.37388888888889
Nanded,015-UGDHYD,19.15,77.31
Rosera,006-mgd4ptn,25.749722222222225,86.02111111111111
Narmadapuram,016-NDBHP,22.76,77.69
Surat,023-TDSURAT,21.2,72.82
Bawanthadi Reservoir,033-wgdngp,21.541666666666668,79.54166666666667
Rothak,DWRIS-05,27.171666666666667,88.29944444444445
Kolar Reservoir,NBO-2-050-1251,22.961944444444445,77.34277777777777
Bhagalpur,006-mgd5ptn,25.269444444444442,87.01555555555555
Mawi ,012-UYDDEL,29.3825,77.15444444444445
Chatia,010-mgd4ptn,26.532777777777778,84.5586111111111
Manas N H Crossing,004-LBDJPG,26.464166666666667,90.75
Hajipur,011-MGD5PTN,25.689444444444444,85.19666666666667
Gangpur Siswan,013-MGD5PTN,25.940277777777776,84.39194444444445
Chhapra,014-MGD5PTN,25.754166666666666,84.7875
Sripalpur,021-mgd5ptn,25.50027777777778,85.10944444444443
MOHANA,009-LYDAGRA,25.82361111111111,79.4625
Elginbridge,010-MGD1LKn,27.0952,81.48606666666667
Jaunpur,010-mgd3vns,25.749166666666667,82.67194444444445
PHAPHAMAU,002-MGD3VNS,25.504166666666666,81.86333333333333
ETAWAH,002-LYDAGRA,26.746666666666666,78.98666666666666
Sahibganj,008-MGD5PTN,25.247777777777777,87.64916666666667
Naharkatia,012-ubddib,27.29388888888889,95.33138888888888
Kakardhari,003-MGD1LKN,27.89527777777778,81.77444444444444
Dibrugarh,010-UBDDIB,27.488611111111112,94.90972222222223
Maner,027-MGD5PTN,25.692222222222224,84.87277777777777
Badatighat,022-UBDDIB,26.948911111111112,93.96211111111111
Dighaghat,002-MGD5PTN,25.648333333333333,85.06777777777778
Dhengraghat,030-mgd4ptn,25.850555555555555,87.80611111111111
Jhawa,031-mgd4ptn,25.61277777777778,87.78722222222223
Basua,023-mgd4ptn,26.108333333333334,86.52833333333334
GodavariRlyBridge(Rajahmundry),027-LGDHYD,17.006944444444443,81.76694444444445
Neamatighat,019-UBDDIB,26.860561111111114,94.25160555555556
Rewaghat,009-MGD5PTN,25.992222222222225,85.05222222222221
Badarpur Ghat,01-11-01-006,24.87527777777778,92.57833333333333
Rishikesh,014-HGDDDN,30.110000000000003,78.31
Golokganj,008-LBDJPG,26.107222222222223,89.8236111111111
Kannauj,004-MGD2LKN,27.012777777777778,79.98416666666667
Mathura (Prayag ghat),017-UYDDEL,27.50412222222222,77.68723333333334
Rae bareli,016-mgd2lkn,26.203333333333333,81.24666666666667
Govindpur (NH5 Road Bridge),005-ERDBWN,21.547777777777778,86.91805555555555
Badarpurghat,011-MBDGHY,24.87527777777778,92.57833333333333
Kachhlabridge,002-mgd2lkn,27.931944444444447,78.8625
Mirzapur,005-mgd3vns,25.1546,82.5296
Turtipar,012-MGD1LKN,26.141111111111112,83.87472222222222
Guwahati(D.C.Court),001-MBDGHY,26.190277777777776,91.745
Ghazipur,007-MGD3VNS,25.580016666666666,83.58834999999999
Chenimari (Khowang),013-UBDDIB,27.31222222222222,94.88166666666666
Gandhighat,003-MGD5PTN,25.621944444444445,85.17111111111112
Hayaghat,018-mgd4ptn,26.0375,85.8863888888889
Kopergaon,006-UGDHYD,19.89,74.49
Pagladiya N T Road Crossing,004-MBDGHY,26.45,91.46
AGRA (J.B.),001-LYDAGRA,27.19,78.03
Dhansa,022-UYDDEL,28.534444444444446,76.87055555555555
Gangakhed W/L Station,012-UGDHYD,18.979999999999997,76.75
Mantralayam,013-lkdhyd,15.94,77.42
Jagdalpur,006-LGDHYD,19.108055555555556,82.02277777777778
Bhadrachalam,017-LGDHYD,17.669444444444444,80.87388888888889
NT Road Crossing Jia-Bharali,030-UBDDIB,26.810000000000002,92.87972222222221
Baltara,024-MGD4PTN,25.54138888888889,86.7225
Ranganadi NT Road crossing,36-UBDDIB,27.204275,94.05960555555555
Jhanjharpur,021-MGD4PTN,26.22611111111111,86.25611111111111
Balrampur,018-MGD1LKN,27.435277777777777,82.22944444444444
SAHIJINA,0010-LYDAGRA,25.94472222222222,80.15333333333334
Kunavaram,024-LGDHYD,17.5675,81.25
Mekhliganj (R/B),023-LBDJPG,26.328888888888887,88.8625
Ballia,008-MGD3VNS,25.75,84.38333333333334
Sivasagar,018-ubddib,26.98173611111111,94.57904166666667
Dumariaghat,011-mgd4ptn,26.358861111111114,84.74814722222223
Bansi ,019-MGD1LKN,27.189166666666665,82.94
Kampur,033-UBDDIB,26.152777777777775,92.65333333333334
Warna Dam,034-UKDPUNE,17.13,73.86
Subansiri Lower Dam,054-UBDDIB,27.553611111111113,94.25861111111111
NAINI,020-LYDAGRA,25.42,81.83999999999999
Gandhi Sagar Reservoir,007-CDJAIPUR,24.65,75.61
Matijuri,015-MBDGHY,24.649444444444445,92.60888888888888
Sathanur Dam,031-HDCHENNAI,12.2,78.58999999999999
Krishnarajasagar Reservoir,0034-cdbng,12.425594444444444,76.57249999999999
Khadda,009-MGD4PTN,27.23084722222222,83.8758611111111
BANDA,014-LYDAGRA,25.481388888888887,80.31222222222222
Paonta,008-UYDDEL,30.417705555555557,77.62275833333332
Musi Dam,0031-LKDHYD,17.235,79.52
Dabri,010-mgd2lkn,27.498055555555556,79.69722222222222
Grand Anicut,0026-srdcbe,10.83,78.81888888888888
Hathnikund Barrage,009-UYDDEL,30.314444444444444,77.585
Dheng Bridge,015-mgd4ptn,26.7229,85.32715833333333
